
1월 11, 2024 13:21:54.378 NEW SESSION
1월 16, 2024 09:31:05.263 [8308:6096:0116/093105.263:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:32:18.625 [8308:6096:0116/093218.625:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:32:21.942 [8308:6096:0116/093221.941:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:32:27.745 [8308:6096:0116/093227.745:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:32:54.690 [8308:6096:0116/093254.689:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:34:23.286 INFO: Created TensorFlow Lite XNNPACK delegate for CPU.
1월 16, 2024 09:34:32.609 [8308:6096:0116/093432.609:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:34:37.648 [8308:6096:0116/093437.648:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:34:44.476 [8308:6096:0116/093444.476:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:37:33.632 [8308:6096:0116/093733.631:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:38:00.662 [8308:6096:0116/093800.662:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
1월 16, 2024 09:38:34.132 [8308:6096:0116/093834.132:ERROR:feature_processor_state.cc(40)] Processing error occured: model WebAppInstallationPromo failed with UkmEngineDisabled, message: 
